date      open   close    volume
                                     
2016-01-04  176.1700  171.13  141519.0
2016-01-05  171.1300  171.77   87341.0
2016-01-06  169.9700  169.27   90061.0
2016-01-07  166.4200  161.03  162924.0
2016-01-08  160.5700  148.15  789196.0
2016-01-11  149.8200  152.45  196492.0
2016-01-12  153.7800  156.19  181450.0
2016-01-13  155.9600  150.34  148682.0
2016-01-14  150.7200  152.53  123199.0
2016-01-15  148.0100  149.93  160669.0
2016-01-19  151.2100  146.34  170399.0
2016-01-20  144.3200  149.69  184037.0
2016-01-21  150.1200  150.22   82178.0
2016-01-22  153.2500  149.91  146205.0
2016-01-25  149.2100  145.88  115209.0
2016-01-26  146.8900  147.15  167072.0
2016-01-27  146.8000  142.39  251188.0
2016-01-28  160.8300  167.26  767679.0
2016-01-29  168.3200  172.51  291984.0
2016-02-01  171.0800  173.34  225002.0
2016-02-02  171.9600  171.89  173073.0
2016-02-03  174.1300  171.48  147388.0
2016-02-04  171.0200  167.84  132224.0
2016-02-05  165.8700  156.46  211594.0
2016-02-08  154.5300  155.00  191206.0
2016-02-09  152.5400  151.96  140951.0
2016-02-10  153.3200  150.15  103353.0
2016-02-11  147.2100  149.57  226967.0
2016-02-12  150.4500  151.90  117040.0
2016-02-16  153.7100  152.36  122216.0
2016-02-17  153.4500  156.60  259924.0
2016-02-18  156.4900  149.32  179645.0
2016-02-19  148.0000  153.25  228899.0
2016-02-22  155.3200  154.60  122392.0
2016-02-23  152.5100  152.59  235046.0
2016-02-24  151.4100  156.58  205203.0
2016-02-25  156.7100  158.15  127854.0
2016-02-26  159.5700  158.58  123534.0
2016-02-29  158.3500  160.89  122758.0
2016-03-01  163.2100  172.39  264189.0
2016-03-02  171.5100  168.24  113624.0
2016-03-03  168.2000  170.78  150437.0
2016-03-04  170.7800  168.98   92666.0
2016-03-07  167.9800  168.75  173472.0
2016-03-08  167.0600  167.65  109443.0
2016-03-09  168.1900  168.24  119183.0
2016-03-10  169.2600  167.12   91276.0
2016-03-11  168.3400  170.59   73064.0
2016-03-14  169.5900  168.04   56941.0
2016-03-15  168.0400  165.81  168305.0
2016-03-16  166.2200  167.38  114508.0
2016-03-17  166.5100  168.98  159346.0
2016-03-18  169.9200  175.12  141522.0
2016-03-21  174.8400  175.55   94518.0
2016-03-22  174.5000  175.77  124152.0
2016-03-23  175.8000  169.48   98077.0
2016-03-24  168.9379  172.82  102050.0
2016-03-28  174.1800  172.02   77032.0
2016-03-29  171.9000  177.79   92834.0
2016-03-30  179.3300  180.87  128225.0
2016-03-31  182.3000  179.72  105281.0
