date    open  close      volume
                                    
2016-01-04  22.340  22.95   4640199.0
2016-01-05  22.910  22.59   3197304.0
2016-01-06  21.720  20.12   5395050.0
2016-01-07  19.600  19.43   3980609.0
2016-01-08  19.590  19.31   4898152.0
2016-01-11  19.260  18.32   5162592.0
2016-01-12  19.130  18.24   5040354.0
2016-01-13  18.510  17.30   4937129.0
2016-01-14  17.970  18.42   5410239.0
2016-01-15  17.450  17.16   4735520.0
2016-01-19  17.320  16.38   5214650.0
2016-01-20  15.960  15.87   6701946.0
2016-01-21  15.840  17.24   5490759.0
2016-01-22  18.490  17.59   6333099.0
2016-01-25  16.840  16.81   5682244.0
2016-01-26  17.080  17.71   8104092.0
2016-01-27  17.410  18.14  10056031.0
2016-01-28  19.580  18.45  10670983.0
2016-01-29  19.040  19.61   6634166.0
2016-02-01  18.820  18.40   6212132.0
2016-02-02  17.760  17.43   5497578.0
2016-02-03  17.910  19.26   4932122.0
2016-02-04  19.450  20.00   6281671.0
2016-02-05  19.790  19.84   5673211.0
2016-02-08  19.230  19.23   5605630.0
2016-02-09  18.670  17.86   5034981.0
2016-02-10  17.840  16.76   5736382.0
2016-02-11  15.860  15.97   5996938.0
2016-02-12  16.320  16.79   5237533.0
2016-02-16  17.660  16.80   5146373.0
2016-02-17  16.990  17.98   5912774.0
2016-02-18  18.370  17.00   5129667.0
2016-02-19  16.590  15.76   6926857.0
2016-02-22  16.370  16.87   4403644.0
2016-02-23  16.560  16.17   4546551.0
2016-02-24  15.660  16.82   6809985.0
2016-02-25  16.980  16.43   5139553.0
2016-02-26  16.960  17.14   4622154.0
2016-02-29  17.220  17.18   4118223.0
2016-03-01  17.230  17.22   4745515.0
2016-03-02  16.970  19.30   5855377.0
2016-03-03  19.310  21.25   8773867.0
2016-03-04  21.740  23.70   9407654.0
2016-03-07  23.760  26.69  16922087.0
2016-03-08  26.280  22.78  11216280.0
2016-03-09  23.600  22.98   9571062.0
2016-03-10  22.700  22.95   6458080.0
2016-03-11  23.700  23.71   5103349.0
2016-03-14  23.140  23.74   4447610.0
2016-03-15  23.300  23.56   3865238.0
2016-03-16  23.670  24.44   4515555.0
2016-03-17  24.860  24.96   4362960.0
2016-03-18  25.280  25.39   8109521.0
2016-03-21  25.310  25.67   3374041.0
2016-03-22  25.200  25.93   3777752.0
2016-03-23  25.630  24.04   3471595.0
2016-03-24  23.300  24.13   3943728.0
2016-03-28  24.320  24.09   3118413.0
2016-03-29  23.410  24.54   3654999.0
2016-03-30  25.250  24.42   2556394.0
2016-03-31  24.400  25.19   3257850.0
2016-04-01  24.520  24.26   4110459.0
2016-04-04  24.290  23.82   3783153.0
2016-04-05  23.500  23.49   4613156.0
2016-04-06  23.750  24.65   3276256.0
2016-04-07  24.250  24.44   4249174.0
2016-04-08  25.430  25.69   3888199.0
2016-04-11  26.050  26.31   4009231.0
2016-04-12  26.770  28.82   6885051.0
2016-04-13  28.960  28.82   6676721.0
2016-04-14  29.020  28.89   4794890.0
2016-04-15  28.440  28.49   3679412.0
2016-04-18  27.220  29.13   3492849.0
2016-04-19  29.570  30.47   3845450.0
2016-04-20  30.250  31.24   4797464.0
2016-04-21  31.720  31.63   4927774.0
2016-04-22  31.870  33.66   5271770.0
2016-04-25  33.270  33.51   5460531.0
2016-04-26  33.910  34.87   5204518.0
2016-04-27  35.290  36.24   5786400.0
2016-04-28  36.610  35.40   6058273.0
2016-04-29  35.970  35.74   5647972.0
2016-05-02  35.770  35.14   4908909.0
2016-05-03  34.253  33.43   5212375.0
2016-05-04  34.110  32.81   5403825.0
2016-05-05  33.140  30.26   9783388.0
2016-05-06  29.760  30.34   5016662.0
2016-05-09  29.810  28.84   5341342.0
2016-05-10  29.060  29.91   3863190.0
2016-05-11  29.630  30.38   4057668.0
2016-05-12  30.490  30.35   5139622.0
2016-05-13  29.940  29.14   3217616.0
2016-05-16  29.950  30.07   3322366.0
2016-05-17  30.110  29.81   4309265.0
2016-05-18  29.660  28.90   3744117.0
2016-05-19  28.400  29.38   3535979.0
2016-05-20  29.500  29.40   3219146.0
2016-05-23  29.090  29.64   2524747.0
2016-05-24  29.900  30.26   2808607.0
2016-05-25  30.500  31.40   3748299.0
2016-05-26  31.850  31.04   3054803.0
2016-05-27  30.720  30.69   2566723.0
2016-05-31  30.860  30.91   4164005.0
